epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.511897087097168,0.49949461221694946,0.7316080331802368,0.5735735893249512,0.5175591707229614,0.6903167366981506
1,0.5331189632415771,0.5389097332954407,0.6972525119781494,0.5525525808334351,0.5098178386688232,0.6886608004570007
2,0.5401929020881653,0.5486658811569214,0.6944689750671387,0.5825825929641724,0.5598724484443665,0.6838192343711853
3,0.5607717037200928,0.5776165127754211,0.6843724250793457,0.6786786913871765,0.6896538734436035,0.666233479976654
4,0.5768488645553589,0.6004578471183777,0.6778415441513062,0.5435435175895691,0.6411293745040894,0.6557517051696777
5,0.5858520865440369,0.6354962587356567,0.6608251929283142,0.7027027010917664,0.820218563079834,0.6507872343063354
6,0.5993568897247314,0.6582890748977661,0.6474953889846802,0.56456458568573,0.6535336375236511,0.6536543369293213
7,0.6237941980361938,0.6982555985450745,0.6250692009925842,0.5945945978164673,0.7011475563049316,0.6548150777816772
8,0.663022518157959,0.7237953543663025,0.6084440350532532,0.477477490901947,0.8435154557228088,0.74101722240448
9,0.6816720366477966,0.7842732071876526,0.5540260672569275,0.6576576828956604,0.7181239128112793,0.6398799419403076
10,0.7241157293319702,0.8153383135795593,0.5271724462509155,0.7207207083702087,0.8383241295814514,0.6788634657859802
11,0.7414790987968445,0.8493475317955017,0.4829542338848114,0.6126126050949097,0.7585427761077881,0.6187505125999451
12,0.8173633217811584,0.9086148738861084,0.4006654918193817,0.7987987995147705,0.9057923555374146,0.5053209662437439
13,0.8263665437698364,0.9166215062141418,0.38635414838790894,0.8258258104324341,0.9022039771080017,0.5466628670692444
14,0.8334405422210693,0.9209215641021729,0.37639951705932617,0.7207207083702087,0.8832240104675293,0.5250105261802673
15,0.852090060710907,0.9347109794616699,0.35500699281692505,0.8858858942985535,0.9650819897651672,0.3418969213962555
16,0.8983922600746155,0.961658239364624,0.28452354669570923,0.8108108043670654,0.9462841749191284,0.6218207478523254
17,0.8913183212280273,0.9632774591445923,0.2774065434932709,0.804804801940918,0.9511840343475342,0.39482831954956055
18,0.8694533705711365,0.9566783905029297,0.29466646909713745,0.837837815284729,0.948979914188385,0.35189583897590637
19,0.9131832718849182,0.9769191145896912,0.23300480842590332,0.7627627849578857,0.9424407482147217,0.7107089161872864
